,用户id,用户姓名,发表日期,国家,省份,市区,说说内容,积极情感分数,消极情感分数,积极情感均值,消极情感均值,积极情感方差,消极情感方差
9017,2088661600,娜姐,2017-06-19,中国,河南,信阳,哎呀今天周末人多不停的忙这忙那的可累死我了我这个细胳膊大长腿呀疼滴很谁来帮我捶捶啊肚子呢大概是受凉了难受希望今天能不这么累现在最想做的就是睡觉觉兄弟姐妹们晚安啦,16.0,204.0,0.3,4.0,0.5,4.2
9018,2088661600,娜姐,2017-06-18,中国,河南,信阳,老爸呀一说到您心里就难受我和我哥哥都是在您的怀里长大的您为这个家奔波劳累这么多年了吃了那么多的苦受了那么多的罪但您一点都不埋怨不叫苦不叫累为的就是能让我们健健康康的成长您管我们吃喝拉撒我们是在您的呵护下渐渐长大了可是岁月蹉跎您白头发多了您看您瘦的腿跟胳膊一样细该吃点好的补补啦长胖点好看记得您每天四五点就起忙着做活回来时饿得头晕累的腰酸背痛您有时会说我听到了却没给您捶捶想想自己真不孝顺真该打一天在家没见过您几次面唉您真的太辛苦了老爸没能替您分担一下对不起有时自己真欠抽讲话不听还跟您顶嘴我行我素的记得有次同学聚会您同意了但要早点回来别玩太久这是您嘱咐的我都没当回事您还打过来电话问我在干嘛怎么还不回来知道您是关心我害怕外面不安全但是我就不耐烦的讲没事我会回去的你不用担心结果到了十一点才回的家都夜深人静了人都睡了可是您没睡着知道我回来了才睡的以后我会听您的话的您现在四十八啦还在努力奋斗中我哥已经不需要您管多少,0.0,8356.0,0.0,31.1,0.0,17.0
9019,2088661600,娜姐,2017-06-17,中国,河南,信阳,翻开相册看到了昔日的他们嗯不错这群熊孩子打滴好看这高挺的身材帅帅的脸蛋酷酷的身姿哎呀好想再看他们打篮球啊,0.0,4.0,0.0,0.1,0.0,0.2
9020,2088661600,娜姐,2017-06-16,中国,河南,信阳,好像童年没有拥有她过  转发内容:好像童年没有拥有她过,60.0,19.0,3.5,1.1,2.3,0.6
9021,2088661600,娜姐,2017-06-15,中国,河南,信阳,哎呀怎么说呢心里有点小激动不是太激动啦,0.0,24.5,0.0,2.0,0.0,1.6
9022,2088661600,娜姐,2017-06-13,中国,河南,信阳,开始奋斗喽以后日子还很长加油啊忽然有种长大了的感觉开心,16.0,12.0,1.0,0.8,0.4,1.0
9023,2088661600,娜姐,2017-06-12,中国,河南,信阳,昨天晚上做梦梦见自己高考考了分也不知道为啥梦里的我竟然那么开心无奈了,-2.0,9.0,-0.1,0.5,0.6,0.8
9024,2088661600,娜姐,2017-06-10,中国,河南,信阳,开始贴面膜喽感觉自己美美哒贴完后再用喷雾喷一下肌肤补点水吼吼真是完美啊,2.0,0.0,0.1,0.0,0.3,0.0
9025,2088661600,娜姐,2017-06-10,中国,河南,信阳,一杯香飘飘甜满了我的心,0.0,0.0,0.0,0.0,0.0,0.0
9026,2088661600,娜姐,2017-06-09,中国,河南,信阳,大概知道是怎么回事了说我放弃就当是吧挑我小毛病生我气我就受着不主动找你不是我想逃避是我真的累了真的没办法说实在的我从没遇到过这样的也不知道你会为了我的一些毛病一些事生气感觉跟我在一起都在忍着不是很开心的我就想知道为什么憋在心里为什么不和我讲而却告诉别人难道真不值得你这样做吗我就特别不理解不管你怎么看我怎么想我我想总会有人想和我一起总会有人不会介意我的那些小毛病可能我说的你还是会那样想不过没关系我只是想把我的想法说给你听也许你已经屏蔽了我但要说的还是得说在一起共度三年啦最后还没落下好的印象唉说实在的真的挺惭愧的这样想想觉得吧我们真的不适合在一起相信你会找到让你信任的快乐的好朋友以后出门在外要多留个心眼要知道江湖险恶啊也希望你开心每一天在以后的日子找到属于自己的幸福三年的时光会永远记忆在心谢谢你出现在我的生命里但咱们的旅程就到此为止,675.0,2638.5,2.7,10.6,5.3,5.6
9027,2088661600,娜姐,2017-06-08,中国,河南,信阳,再看一眼大实验正在回家的路上风吹的好冷不过回家还是挺开心的,9.0,10.0,0.5,0.5,1.4,0.5
9028,2088661600,娜姐,2017-06-08,中国,河南,信阳,陪我一起度过几个月的闺房再见啦,0.0,0.0,0.0,0.0,0.0,0.0
9029,2088661600,娜姐,2017-06-08,中国,河南,信阳,刑满释放,0.0,0.0,0.0,0.0,0.0,0.0
9030,2088661600,娜姐,2017-06-08,中国,河南,信阳,我的大老师保佑我理综过百呀,0.0,0.0,0.0,0.0,0.0,0.0
9031,2088661600,娜姐,2017-06-06,中国,河南,信阳,还有一波乐多李国静晏长青女儿念风广鑫哥凝眸大伟哥张扬武安君强哥刘心成小伟后果清晨柒梓冰雪汪悦俊凯小哥哥,0.0,36.0,0.0,1.5,0.0,1.5
9032,2088661600,娜姐,2017-06-06,中国,河南,信阳,你们都是被高考善待的学子祝高考一切顺利嘿嘿还有我自己加油加油加油德鑫改个名字陈长青空林枫派大星喜欢猪儿虫啊伴我多久黄明辉贾云飞张传丽一起聆听小天冉冉孤生竹十点睡觉够钟上心蔚然成风神经,61.0,1.0,1.2,0.0,0.8,0.1
9033,2088661600,娜姐,2017-06-06,中国,河南,信阳,钱傻子秀出最棒的成绩,0.0,5.0,0.0,0.8,0.0,0.4
9034,2088661600,娜姐,2017-06-06,中国,河南,信阳,小五想去有你的大学,0.0,0.0,0.0,0.0,0.0,0.0
9035,2088661600,娜姐,2017-06-05,中国,河南,信阳,六六等着你,0.0,0.0,0.0,0.0,0.0,0.0
9036,2088661600,娜姐,2017-06-04,中国,河南,信阳,刘灵灵感觉自己中了高考的毒,0.0,0.0,0.0,0.0,0.0,0.0
9037,2088661600,娜姐,2017-06-03,中国,河南,信阳,我的爱桃死了我可伶的桃儿啊,0.0,0.0,0.0,0.0,0.0,0.0
9038,2088661600,娜姐,2017-06-03,中国,河南,信阳,一身帝王味,0.0,0.0,0.0,0.0,0.0,0.0
9039,2088661600,娜姐,2017-06-02,中国,河南,信阳,为什么啊告诉我这是为什么为什么你们明天就放高考诶都不能一起吗要疯啦要疯啦要疯啦带我走吧  转发内容:为什么啊告诉我这是为什么为什么你们明天就放高考诶都不能一起吗要疯啦要疯啦要疯啦带我走吧,71.0,68.0,1.1,1.0,1.0,0.7
9040,2088661600,娜姐,2017-06-02,中国,河南,信阳,高考倒计时胡书红,0.0,0.0,0.0,0.0,0.0,0.0
9041,2088661600,娜姐,2017-05-31,中国,河南,信阳,一双脚各磨出一个泡疼死我啦这一天真没好过过好心疼宝宝,0.0,648.0,0.0,34.1,0.0,99.4
9042,2088661600,娜姐,2017-05-30,中国,河南,信阳,浓浓的粽意闹端午咱们大家一起吃好喝好玩好最最重要的是一定要吃粽子哦大家端午节快乐哈,38.0,0.0,1.6,0.0,1.6,0.0
9043,2088661600,娜姐,2017-05-28,中国,河南,信阳,给我你的爱,0.0,0.0,0.0,0.0,0.0,0.0
9044,2088661600,娜姐,2017-05-24,中国,河南,信阳,这次理综没脸见人了真的自己都过意不去唉最后十几天了也没抱有太大希望就想着能够尽自己一点微薄之力可以在高考稍稍提升一些达到自己的目标就行还有认识我的数学嗯一定要好好努力去争取去奋斗高考加油,20.5,59.0,0.4,1.1,0.7,0.6
9045,2088661600,娜姐,2017-05-23,中国,河南,信阳,真是大开眼界求生本能啊  转发内容:真是大开眼界求生本能啊,19.0,0.0,1.3,0.0,0.9,0.0
9046,2088661600,娜姐,2017-05-23,中国,河南,信阳,爱的疯狂是不是就不存在理性的思考了,7.0,0.0,0.6,0.0,0.5,0.0
9047,2088661600,娜姐,2017-05-21,中国,河南,信阳,已经两周年了你是否还记得那个时候青涩的我们在一起都羞羞答答的我们为爱倾尽所有痴狂的不知天高地厚笑得天真烂漫什么心酸伤心难受生气都经历过但最重要的是快乐我们在一起快乐的日子我很开心也很幸福有你我就知足了我爱你,450.0,122.0,7.4,2.0,8.7,2.0
9048,2088661600,娜姐,2017-05-19,中国,河南,信阳,哎呀这短暂的食堂之旅就要落下帷幕了但是我特别特别开心能在一起咪西咪西唉你为什么要回来呢哈哈有点不过开心就好,67.5,87.0,2.1,2.7,1.8,0.6
